Ten dich vu,Gia (VND)
"Khám nội đa khoa (có hẹn)","345000"
"Khám nội đa khoa (không hẹn)","550000"
"Khám chuyên gia (có hẹn/ không hẹn)","1800000"
"Khám trước tiêm chủng Sơ sinh","330000"
"Khám trước tiêm chủng người lớn","330000"
"Khám Nhi [Khám trước tiêm chủng Nhi]","330000"
"Phí tư vấn dưới 30 phút","300000"
"Phí tư vấn trên 30 phút","600000"
"Khám, tư vấn chuyên sâu (có hẹn/không hẹn)","1200000"
"Khám, tư vấn chuyên sâu (ngày nghỉ, Lễ, Tết)","1800000"
"Khám ngoài giờ ngày thường/ngày nghỉ","900000"
"Khám Cấp Cứu","900000"
"Khám Cấp Cứu (Cách ly)","1100000"
"Lưu viện phòng tiêu chuẩn (phòng đơn) (24h)","3800000"
"Lưu viện phòng vip (24h)","5000000"
"Lưu viện phòng Deluxe (24h)","10000000"
"Lưu viện phòng tổng thống (24h)","23000000"
"Lưu viện điều trị trong ngày (1h-4h)","920000"
"Lưu viện điều trị trong ngày (4h-8h)","1500000"
"Lưu viện điều trị trong ngày (8h-12h)","2000000"
"Lưu viện phòng cách ly (24h)","5000000"
"Lưu viện phòng chăm sóc đặc biệt HDU (24h)","5000000"
"Lưu viện phòng chăm sóc tích cực ICU (24h)","7000000"
"Lưu viện phòng chăm sóc tích cực HDU - cách ly (24h)","7000000"
"Lưu viện phòng chăm sóc tích cực ICU - cách ly (24h)","9000000"
"Dịch vụ vận chuyển y tế nội địa bằng đường bộ (dưới 5km)","1000000"
"Dịch vụ vận chuyển y tế nội địa bằng đường bộ (5-10km)","2200000"
"Dịch vụ vận chuyển y tế nội địa bằng đường bộ (10-20km)","4400000"
"Chụp X-quang ngực thẳng [ > 24x30 cm, 1 tư thế]","320000"
"Siêu âm ổ bụng (gan mật, tụy, lách, thận, bàng quang) (tìm luồng trào ngược)","630000"
"Siêu âm đàn hồi nhu mô tuyến giáp","630000"
"Siêu âm tuyến vú hai bên","450000"
"Siêu âm thai (thai, nhau thai, nước ối) [Siêu âm đánh giá sự phát triển của thai (thai đơn)]","560000"
"Siêu âm thai (thai, nhau thai, nước ối) [Siêu âm hình thái thai (thai đơn)]","1150000"
