Ten dich vu,Gia (VND),Ghi chu
Khám nội tổng quát (Dịch vụ thường),150000,Khám lâm sàng
Khám bệnh VIP (Giáo sư/Tiến sĩ),200000,Giá từ 200.000 - 300.000 VNĐ
Khám bệnh VIP theo lịch hẹn,300000,Yêu cầu đặt trước
Khám Cấp cứu,150000,Phục vụ 24/7
"Khám chuyên khoa (Cột sống, Cơ xương khớp, Hô hấp...)",80000,Giá khám thường
Khám chuyên khoa với Trưởng khoa,100000,Bác sĩ Trưởng khoa trực tiếp khám
Đọc kết quả kiểm tra sức khỏe,22000,Phí tư vấn kết quả
Gói khám sức khỏe xin việc / lái xe,300000,Giá tham khảo (Liên hệ trực tiếp để có giá chính xác theo mẫu hiện hành)
Siêu âm (Tham khảo),150000,Giá dịch vụ lẻ
X-quang (Tham khảo),100000,Giá dịch vụ lẻ
