Ten dich vu,Gia (VND),Ghi chu
Khám mắt tổng quát,100.000 - 150.000,Phí khám lâm sàng
Khám chuyên sâu Lasik (Trước phẫu thuật),750.000,Thường miễn phí vào các dịp ưu đãi
Khám chuyên sâu Phaco (Đục thủy tinh thể),250.000,Phí khám hồ sơ
Đo khúc xạ,50.000 - 100.000,Dịch vụ lẻ
Phẫu thuật Standard Lasik,15.000.000 - 20.000.000,Trọn gói 2 mắt (Giá tham khảo)
Phẫu thuật Femtosecond Lasik,29.000.000 - 35.000.000,Trọn gói 2 mắt
Phẫu thuật ReLEx SMILE,43.000.000 - 48.000.000,Trọn gói 2 mắt
Phẫu thuật SMILE Pro,53.000.000 - 58.000.000,Công nghệ mới nhất (Zeiss)
Phẫu thuật Phakic ICL,85.000.000 - 95.000.000,Dành cho độ cận/loạn cao
Phẫu thuật Phaco (Đơn tiêu - Monofocal),11.000.000 - 20.000.000,Giá 1 mắt (Tùy loại kính)
Phẫu thuật Phaco (Đa tiêu - Multifocal),40.000.000 - 60.000.000,Giá 1 mắt (Kính cao cấp)
Phẫu thuật Phaco (Kính loạn thị - Toric),25.000.000 - 35.000.000,Giá 1 mắt
Điều trị Laser bao sau (YAG),1.500.000,Điều trị đục bao sau thứ phát
Chụp bản đồ giác mạc (Topography),300.000 - 500.000,Dịch vụ chẩn đoán chuyên sâu
