Ten dich vu,Gia (VND),Ghi chu
Khám mắt tổng quát (Standard),250.000,Phí khám lâm sàng
Khám chuyên sâu phẫu thuật khúc xạ (Lasik/Femto/Smile),750.000,Có thể miễn phí theo chương trình ưu đãi
Khám chuyên sâu đục thủy tinh thể (Phaco),250.000 - 700.000,Tùy cấp độ chuyên gia
Đo khúc xạ máy,100.000,Dịch vụ lẻ
Đo nhãn áp,90.000,Dịch vụ lẻ
Phẫu thuật Standard Lasik,15.000.000 - 18.000.000,Trọn gói 2 mắt (Giá tham khảo)
Phẫu thuật Femtosecond Lasik,29.000.000 - 30.000.000,Trọn gói 2 mắt (Giá tham khảo)
Phẫu thuật ReLEx SMILE,44.000.000 - 50.000.000,Trọn gói 2 mắt (Giá tham khảo)
Phẫu thuật SMILE Pro,53.000.000 - 58.000.000,Trọn gói 2 mắt (Công nghệ mới)
Phẫu thuật Phakic ICL,85.000.000 - 95.000.000,Trọn gói 2 mắt (Dành cho độ cận cao)
Phẫu thuật Phaco (Thủy tinh thể đơn tiêu),11.000.000 - 20.000.000,Mỗi mắt (Tùy loại kính)
Phẫu thuật Phaco (Thủy tinh thể đa tiêu),40.000.000 - 60.000.000,Mỗi mắt (Kính cao cấp)
Gói khám tầm soát các bệnh về mắt (Người cao tuổi),Liên hệ,Thường có ưu đãi 0đ cho người >45 tuổi
