Ten dich vu,Gia (VND),Ghi chu
Khám nội / ngoại khoa,100.000 - 300.000,Phí khám lâm sàng
Khám Nhi / Tư vấn Nhi,290000,Lần
Khám Phụ khoa / Sản khoa,100.000 - 330.000,Tùy dịch vụ/bác sĩ
Khám Nam khoa / Hỗ trợ sinh sản (Hiếm muộn),490000,Lần
Siêu âm bụng tổng quát / Phụ khoa,100000,2D trắng đen
Siêu âm 4D (Thai),380.000 - 780.000,Tùy tuổi thai và số lượng thai
Siêu âm độ mờ da gáy,450000,Lần
Tổng phân tích tế bào máu,90000,Xét nghiệm
Gói bơm tinh trùng (IUI),10.000.000 - 12.000.000,Ước tính trọn gói (Thuốc + Thủ thuật)
Gói thụ tinh ống nghiệm (IVF),80.000.000 - 100.000.000,Ước tính (Tùy phác đồ điều trị)
Chi phí sinh thường (Ước tính),Khoảng 16.000.000,Tổng chi phí viện phí tham khảo
Chi phí sinh mổ (Ước tính),Trên 20.000.000,Tổng chi phí viện phí tham khảo
Phẫu thuật nội soi điều trị vô sinh,8.000.000 - 12.000.000,Chưa bao gồm thuốc và phí nằm viện
Gói đặt vòng tránh thai (DCTC),500000,Gói thủ thuật
